query,street_norm,city,zip5,latitude,longitude,source
"4308 Menchaca Rd, Austin, TX, 78704",4308 Menchaca Rd,Austin,78704,30.230946950258,-97.787740788297,prior
"1900 E Martin Luther King Jr Blvd, Austin, TX, 78702",1900 E Martin Luther King Jr Blvd,Austin,78702,30.279870255739,-97.721186212186,prior
"7814 W Us 290 Highway, Austin, TX, 78736",7814 W Us 290 Highway,Austin,78736,30.229405094345,-97.882383936562,prior
"3706 Jefferson St, Austin, TX, 78731",3706 Jefferson St,Austin,78731,30.308757766657,-97.751029278879,prior
"6201 Manor Rd, Austin, TX, 78723",6201 Manor Rd,Austin,78723,30.308011045966,-97.676064964889,prior
"5010 Old Manor Rd, Austin, TX, 78723",5010 Old Manor Rd,Austin,78723,30.298910366794,-97.690813034718,prior
"11110 Tom Adams Dr, Austin, TX, 78753",11110 Tom Adams Dr,Austin,78753,30.373590074946,-97.669199698106,prior
"5900 Manor Rd, Austin, TX, 78723",5900 Manor Rd,Austin,78723,30.306555364472,-97.680097438358,prior
"517 E 6th St, Austin, TX, 78701",517 E 6th St,Austin,78701,30.266662239457,-97.738052433698,prior
"12410 Tomanet Trl, Austin, TX, 78758",12410 Tomanet Trl,Austin,78758,30.41747366101,-97.701616352585,prior
"4001 N Lamar Blvd, Austin, TX, 78756",4001 N Lamar Blvd,Austin,78756,30.30788616425,-97.741301669884,prior
"1405 W William Cannon Dr, Austin, TX, 78745",1405 W William Cannon Dr,Austin,78745,30.200302637129,-97.798938944693,prior
"919 Springdale Rd, Austin, TX, 78702",919 Springdale Rd,Austin,78702,30.260794442489,-97.698549499525,prior
"17721 Colorado Sand Dr, Pflugerville, TX, 78660",17721 Colorado Sand Dr,Pflugerville,78660,30.450037249564,-97.589185639113,prior
"3736 Bee Caves Rd, West Lake Hills, TX, 78746",3736 Bee Caves Rd,West Lake Hills,78746,30.280159354218,-97.807415419672,prior
"901 W Ben White Blvd, Austin, TX, 78704",901 W Ben White Blvd,Austin,78704,30.227264064509,-97.773545978757,prior
"18816 Limestone Commercial Dr, Pflugerville, TX, 78660",18816 Limestone Commercial Dr,Pflugerville,78660,30.468006235206,-97.596131206993,prior
"5706 Manor Rd, Austin, TX, 78723",5706 Manor Rd,Austin,78723,30.304720134707,-97.681301709212,prior
"907 FM 685, Pflugerville, TX, 78660",907 FM 685,Pflugerville,78660,30.443398242023,-97.609496279109,prior
"1015 E Braker Ln, Austin, TX, 78753",1015 E Braker Ln,Austin,78753,30.375186944704,-97.672209531012,prior
"12304 Dessau Rd, Austin, TX, 78754",12304 Dessau Rd,Austin,78754,30.387352622747,-97.648535096803,prior
"12509 N Lamar Blvd, Austin, TX, 78753",12509 N Lamar Blvd,Austin,78753,30.408355825116,-97.678049898577,prior
"3842 Airport Blvd, Austin, TX, 78722",3842 Airport Blvd,Austin,78722,30.289264116097,-97.707458131889,prior
"3811 Harmon Ave, Austin, TX, 78751",3811 Harmon Ave,Austin,78751,30.295456805706,-97.720491895808,prior
"3851 Manor Rd, Austin, TX, 78723",3851 Manor Rd,Austin,78723,30.289586433458,-97.697306830561,prior
"1905 Aldrich St, Austin, TX, 78723",1905 Aldrich St,Austin,78723,30.298226614307,-97.705305545453,prior
"2632 S Lamar Blvd, Austin, TX, 78704",2632 S Lamar Blvd,Austin,78704,30.24592738501,-97.779122041188,prior
"4101 W Parmer Ln, Austin, TX, 78727",4101 W Parmer Ln,Austin,78727,30.425880610633,-97.716395627219,prior
"3839 Airport Blvd, Austin, TX, 78722",3839 Airport Blvd,Austin,78722,30.289147844479,-97.707072980509,prior
"1923 E 7th St, Austin, TX, 78702",1923 E 7th St,Austin,78702,30.262432845995,-97.721776790508,prior
"2150 E 7th St, Austin, TX, 78702",2150 E 7th St,Austin,78702,30.261606232474,-97.717910302368,prior
"4909 Airport Blvd, Austin, TX, 78751",4909 Airport Blvd,Austin,78751,30.310058630362,-97.715441238515,prior
"8863 Anderson Mill Rd, Austin, TX, 78729",8863 Anderson Mill Rd,Austin,78729,30.454197797053,-97.772962202015,prior
"5309 Nuckols Crossing Rd, Austin, TX, 78744",5309 Nuckols Crossing Rd,Austin,78744,30.192987176478,-97.738951712093,prior
"15904 Impact Way, Pflugerville, TX, 78660",15904 Impact Way,Pflugerville,78660,30.419129468526,-97.590860551229,prior
"2919 Montopolis Dr, Austin, TX, 78741",2919 Montopolis Dr,Austin,78741,30.214719124753,-97.71039815801,prior
"2100 Alamo St, Austin, TX, 78722",2100 Alamo St,Austin,78722,30.282194955242,-97.719789540087,prior
"1728 Barton Springs Rd, Austin, TX, 78704",1728 Barton Springs Rd,Austin,78704,30.263169719118,-97.762810297234,prior
"7109 Blessing Ave, Austin, TX, 78752",7109 Blessing Ave,Austin,78752,30.327869619366,-97.695542879306,prior
"2204 Airport Blvd, Austin, TX, 78722",2204 Airport Blvd,Austin,78722,30.28541017888,-97.705909885651,prior
"4803 Airport Blvd, Austin, TX, 78751",4803 Airport Blvd,Austin,78751,30.308011668435,-97.715606026928,prior
"15500 W Sh 71, Bee Cave, TX, 78738",15500 W Sh 71,Bee Cave,78738,30.317350181927,-97.984868765903,prior
"22112 W Sh 71, Spicewood, TX, 78669",22112 W Sh 71,Spicewood,78669,30.367249021599,-98.072080294914,prior
"1700 E Oltorf St, Austin, TX, 78741",1700 E Oltorf St,Austin,78741,30.232943997124,-97.738288404617,prior
"3700 Payload Pass, Austin, TX, 78704",3700 Payload Pass,Austin,78704,30.22252523663,-97.754877425937,prior
"1608 Barton Springs Rd, Austin, TX, 78704",1608 Barton Springs Rd,Austin,78704,30.262071803081,-97.76149497226,prior
