facility_id,name,street,city,n,mean_score,min_score,max_score,latest,latest_score,category,venue
2802657,Whole Foods - Kikka,525 N Lamar Blvd,Austin,5,97,93,99,2026-03-02,97,Grocery,Whole Foods - Kikka
2802812,Parque Zaragoza Recreation Center,2608 Gonzales St,Austin,3,97,96,98,2025-08-19,98,Restaurant & Food Service,Parque Zaragoza Recreation Center
2802976,Seton SW Healthcare,7900 FM 1826,Austin,3,97,96,98,2025-06-04,96,Restaurant & Food Service,Seton SW Healthcare
2802997,ABC's & 123's Infant and Child Care Cntr,13419 E US 290 Hwy EB,Manor,4,97,94,98,2026-04-06,98,School & Childcare,ABC's & 123's Infant and Child Care Cntr
2803164,Tokyo Gardens,2110 W Slaughter Ln,Austin,3,97,94,100,2025-07-08,100,Restaurant & Food Service,Tokyo Gardens
2803531,Randall's #2475-Retail,5311 Balcones Dr,Austin,3,97,93,99,2026-01-28,99,Restaurant & Food Service,Randall's #2475-Retail
2804040,Pronto C-Store,8630 Research SB Blvd,Austin,3,97,94,100,2025-10-21,100,Restaurant & Food Service,Pronto C-Store
10002488,CVS Pharmacy #526,10550 W Parmer Ln,Austin,4,97,93,100,2025-10-24,96,Convenience & Fuel,CVS Pharmacy
10005680,Chick-Fil-A,500 E Ben White Blvd Ste B,Austin,3,97,95,99,2025-07-16,95,Restaurant & Food Service,Chick-Fil-A
10030528,CVS/Pharmacy #0213,5526 S Congress Ave,Austin,3,97,97,97,2026-03-31,97,Convenience & Fuel,CVS
10168145,School in the Hills,2900 N Quinlan Park Rd Ste 400,Austin,4,97,91,100,2026-05-20,97,School & Childcare,School in the Hills
10179207,Chipotle Mexican Grill #262,1700 W Parmer Ln Ste 200,Austin,5,97,94,100,2026-04-17,96,Restaurant & Food Service,Chipotle Mexican Grill
10182044,Sommer Elementary,16200 Avery Ranch Blvd,Austin,5,97,95,99,2026-04-15,95,School & Childcare,Sommer Elementary
10184409,"Gustavo ""Gus"" L. Garcia Recreation Center",1201 E Rundberg Ln,Austin,4,97,94,99,2026-01-27,99,Restaurant & Food Service,"Gustavo ""Gus"" L. Garcia Recreation Center"
10184418,Starbuck's,10107 Research NB Blvd,Austin,5,97,95,99,2026-04-30,99,Restaurant & Food Service,Starbuck's
10260923,BC - HEB Food Store #404 (Deli/Bakery),12400 W SH 71,Bee Cave,3,97,92,100,2025-09-19,99,Grocery,BC - HEB Food Store #404 (Deli
10262029,BC - Target #1812 - Starbucks,3702 S FM 620 Rd,Austin,3,97,95,99,2026-05-18,97,Grocery,BC - Target #1812 - Starbucks
10262867,"BC - Yogurt Planet, LLC",12801 Hill Country Blvd Unit 103,Bee Cave,3,97,96,98,2026-05-20,98,Restaurant & Food Service,"BC - Yogurt Planet, LLC"
10357765,Chipotle Mexican Grill,2700 W Anderson Ln Ste 204,Austin,5,97,95,99,2026-04-28,97,Restaurant & Food Service,Chipotle Mexican Grill
10471466,Community Clinical Research,8334 Cross Park Dr,Austin,3,97,95,100,2026-04-03,96,Healthcare,Community Clinical Research
10652260,Stepping Stone School XVII,1007 E 40th St,Austin,3,97,96,98,2026-03-12,96,School & Childcare,Stepping Stone School XVII
10658286,Provident Memory Care,11013 Signal Hill Dr,Austin,3,97,96,98,2025-03-05,98,Healthcare,Provident Memory Care
10828111,Chipotle Mexican Grill #1723,2320 S Lamar Blvd,Austin,3,97,95,99,2026-03-30,95,Restaurant & Food Service,Chipotle Mexican Grill
10860672,Dollar General Store #13115,1401 S Pleasant Valley Rd,Austin,3,97,95,99,2026-04-06,95,Convenience & Fuel,Dollar General Store
10901300,WL - Pinkberry #170,3300 Bee Caves Rd,West Lake Hills,3,97,96,99,2025-11-03,96,Restaurant & Food Service,WL - Pinkberry
11040160,Juiceland,2601 E Cesar Chavez St,Austin,4,97,93,99,2026-02-23,93,Restaurant & Food Service,Juiceland
11050047,Royal Blue Grocery,301 Brazos St,Austin,3,97,93,100,2025-03-11,100,Grocery,Royal Blue Grocery
11055566,Whole Foods Market - Seafood,11920 Domain Dr,Austin,4,97,94,99,2025-11-13,97,Grocery,Whole Foods Market - Seafood
11066358,Hampton Inn Austin South,4141 Governors Row,Austin,3,97,95,98,2026-04-23,98,Restaurant & Food Service,Hampton Inn Austin South
11066733,Taco Bell #030141,4811 W Braker Ln,Austin,4,97,92,99,2025-12-26,99,Restaurant & Food Service,Taco Bell
11066742,Taco Bell #030140,201 E Oltorf St,Austin,3,97,94,99,2026-03-12,98,Restaurant & Food Service,Taco Bell
