permitID,facility_id,match_method,confidence,n_shared_events,p_name_raw,p_addr_raw,p_city,p_zip,i_name_raw,i_addr_raw,status
8DB650F3-7144-4595-AED5-A0D042CB46CD,11871666,name+street+zip,exact,NA,Swoon Hospitality (Hanks),5811 Berkman Dr Ste 100,Austin,78723,Swoon Hospitality (Hanks),5811 Berkman Dr Ste 100,matched
F46C05C1-D2F1-47C7-A4DD-637FA4A756CA,10592772,name+street+zip,exact,NA,Synergy Enterprises Austin,3827 Promontory Point Dr,Austin,78744,Synergy Enterprises Austin,3827 Promontory Point Dr,matched
A78697F9-D2D5-4DC7-9875-4C6FE103011C,2801749,name+street+zip,exact,NA,TCBY,303 W Martin Luther King Jr Blvd,Austin,78701,TCBY,303 W Martin Luther King Jr Blvd,matched
E72A03D8-FAF5-4A30-B17C-1E962FE7FA18,10805254,name+street+zip,exact,NA,TCBY Frozen Yogurt,5701 W Slaughter Ln # Bunit # 100,Austin,78749,TCBY Frozen Yogurt,5701 W Slaughter Ln # Bunit # 100,matched
4877657B-345B-48FE-9C7A-303A067DB63C,12400902,name+street+zip,exact,NA,TCH Social,13530 N US 183 HWY SB SVRD Unit 100,AUSTIN,78750,TCH Social,13530 N US 183 HWY SB SVRD Unit 100,matched
A51FEB86-9930-43D0-B112-117DE2DF67A0,12185739,name+street+zip,exact,NA,TFS Food & Beverage,3615 S Congress Ave,Austin,78704,TFS Food & Beverage,3615 S Congress Ave,matched
2CA20C54-5DDC-4B90-9115-C94F9B91C144,11821290,name+street+zip,exact,NA,TLC,1100 S Lamar Blvd Ste 1150,Austin,78704,TLC,1100 S Lamar Blvd Ste 1150,matched
7BACF000-6A07-4720-BF03-ABF021C8EE29,12398026,name+street+zip,exact,NA,TWIN LION Chinese Restaurant,4815 W Braker Ln Ste 510,Austin,78759,TWIN LION Chinese Restaurant,4815 W Braker Ln Ste 510,matched
93B6B9C5-4325-4541-B440-7C5E53E1B54B,12397450,name+street+zip,exact,NA,TX C-Store Pro LLC,110 W Slaughter Ln,Austin,78748,TX C-Store Pro LLC,110 W Slaughter Ln,matched
ACCB1430-6929-4D95-B05E-19185D716650,12397989,name+street+zip,exact,NA,TXB 63,15701 W SH 71,AUSTIN,78738,TXB 63,15701 W SH 71,matched
D0C227EB-CBB7-4C28-A238-FF1D197BADD7,11405844,name+street+zip,exact,NA,TXB62,21024 W SH 71,SPICEWOOD,78669,TXB62,21024 W SH 71,matched
D690845A-28C1-4C4E-9704-CA12A5562501,12398271,name+street+zip,exact,NA,Taco Aranda,12115 Manchaca Rd,Austin,78748,Taco Aranda,12115 Manchaca Rd,matched
F325057F-6B76-438F-A027-B5951E55C724,11066712,name+street+zip,exact,NA,Taco Bell #030074,2308 E Riverside Dr,Austin,78741,Taco Bell #030074,2308 E Riverside Dr,matched
F20CFB2A-BAB8-49FF-B744-052451176EEE,11066730,name+street+zip,exact,NA,Taco Bell #030080,3324 W Slaughter Ln,Austin,78748,Taco Bell #030080,3324 W Slaughter Ln,matched
78847177-2AE3-421E-9FF0-841D126F9F12,11066594,name+street+zip,exact,NA,Taco Bell #030090,161 W Slaughter Ln Bldg C,Austin,78748,Taco Bell #030090,161 W Slaughter Ln Bldg C,matched
6EEA6123-F66A-41E1-B2F9-72D2A3F63291,11066586,name+street+zip,exact,NA,Taco Bell #030098,9900 W Parmer Ln Ste C,Austin,78717,Taco Bell #030098,9900 W Parmer Ln Ste C,matched
4A8C673F-3732-4CEC-B7B2-53ADA68E21C2,11066763,name+street+zip,exact,NA,Taco Bell #030114,502 W William Cannon Dr,Austin,78745,Taco Bell #030114,502 W William Cannon Dr,matched
CC1E54E3-B5E2-4FBA-A974-E14A088E7022,11066599,name+street+zip,exact,NA,Taco Bell #030116,13770 N US 183 HWY SB SVRD Unit 170,AUSTIN,78750,Taco Bell #030116,13770 N US 183 HWY SB SVRD Unit 170,matched
3ACEFD10-C43C-4F1F-9F83-9A32C2E28D9F,11066741,name+street+zip,exact,NA,Taco Bell #030129,1925 Airport Blvd,Austin,78722,Taco Bell #030129,1925 Airport Blvd,matched
